,action,movieId
8,PlayedFromYoutubePlayer,396608
16,TrailerPaused,343387
14,TrailerModalLaunched,192324
4,PlayedFromLaunch,177096
15,TrailerModalShutdown,72461
12,TrailerEnded,26544
7,PlayedFromRecommendation,8555
3,MovieDetailsModalOpened,6829
2,MovieDetailsModalClosed,6316
20,WishlistedMovie,3172
13,TrailerLiked,2274
5,PlayedFromNext,1503
9,RatedMovie,1344
11,TrailerDisliked,1010
0,GoToMovieDetails,997
10,RecommendationsRefreshed,416
19,UnwishlistedMovie,279
6,PlayedFromPrevious,199
18,TrailerUnliked,103
17,TrailerUndisliked,102
1,IssueRaised,83
