,Algorithm,SeedMovie,loginId,movieId,avgRating,popularityLastYear,ageCurDate
0,PredictedRating,4612,5NUxm3d,1354,3.85006,106.0,7733.0
1,PredictedRating,4612,5NUxm3d,5772,3.8278,36.0,13247.0
2,PredictedRating,4612,5NUxm3d,6981,3.97285,21.0,23018.0
3,PredictedRating,4612,5NUxm3d,1358,3.97682,187.0,7721.0
4,PredictedRating,4612,5NUxm3d,2858,4.12519,3333.0,6699.0
5,PredictedRating,4612,5NUxm3d,41863,3.67514,35.0,4366.0
6,PredictedRating,4612,5NUxm3d,1694,3.68958,31.0,7336.0
7,PredictedRating,4612,5NUxm3d,6953,3.68978,376.0,5204.0
8,PredictedRating,4612,5NUxm3d,2973,4.0114,107.0,10608.0
9,PredictedRating,4612,5NUxm3d,7572,3.86812,19.0,6143.0
10,PredictedRating,4612,5NUxm3d,5114,3.87336,21.0,23788.0
11,PredictedRating,4612,5NUxm3d,2070,3.94499,22.0,12738.0
12,PredictedRating,4612,5NUxm3d,4297,3.77165,11.0,10619.0
13,PredictedRating,60684,28lSfpJ,79132,4.1635,6645.0,2742.0
14,PredictedRating,60684,28lSfpJ,4993,4.10172,5424.0,5873.0
15,PredictedRating,60684,28lSfpJ,58559,4.1774,5490.0,3470.0
16,PredictedRating,60684,28lSfpJ,34405,3.98505,1106.0,4492.0
17,PredictedRating,60684,28lSfpJ,7153,4.10678,5932.0,5145.0
18,PredictedRating,60684,28lSfpJ,2959,4.23021,6234.0,6669.0
19,PredictedRating,60684,28lSfpJ,2571,4.15056,7177.0,6867.0
20,PredictedRating,60684,28lSfpJ,541,4.11829,2342.0,12990.0
21,PredictedRating,60684,28lSfpJ,5952,4.07794,5159.0,5509.0
22,PredictedRating,60684,28lSfpJ,4011,4.06288,2345.0,6251.0
23,PredictedRating,60684,28lSfpJ,94466,,,
24,PredictedRating,60684,28lSfpJ,5903,3.74022,1114.0,5521.0
25,PredictedRating,60684,28lSfpJ,44191,3.91709,3232.0,4324.0
26,PredictedRating,4448,28lSfpJ,1234,4.14421,522.0,16094.0
27,PredictedRating,4448,28lSfpJ,50,4.29559,3151.0,8190.0
28,PredictedRating,4448,28lSfpJ,7445,3.8057,743.0,5017.0
29,PredictedRating,4448,28lSfpJ,84392,3.74727,455.0,2497.0
30,PredictedRating,4448,28lSfpJ,44665,3.8591,963.0,4303.0
31,PredictedRating,4448,28lSfpJ,6323,3.60011,473.0,5381.0
32,PredictedRating,4448,28lSfpJ,48516,4.11939,2811.0,4122.0
33,PredictedRating,4448,28lSfpJ,48780,4.08475,3324.0,4107.0
34,PredictedRating,4448,28lSfpJ,44199,3.89304,784.0,4317.0
35,PredictedRating,4448,28lSfpJ,2762,4.01773,3054.0,6739.0
36,PredictedRating,4448,28lSfpJ,6708,3.64562,304.0,5241.0
